year,const,cfo,adjr2
1964,0.04,-0.68,0.66
1965,0.05,-0.72,0.67
1966,0.06,-0.71,0.65
1967,0.06,-0.79,0.69
1968,0.06,-0.81,0.74
1969,0.05,-0.79,0.74
1970,0.03,-0.74,0.6
1971,0.03,-0.75,0.63
1972,0.04,-0.79,0.69
1973,0.05,-0.75,0.68
1974,0.04,-0.7,0.59
1975,0.02,-0.67,0.54
1976,0.03,-0.67,0.54
1977,0.03,-0.66,0.54
1978,0.04,-0.66,0.54
1979,0.04,-0.64,0.49
1980,0.03,-0.67,0.53
1981,0.02,-0.63,0.5
1982,0,-0.56,0.4
1983,0,-0.57,0.4
1984,0.01,-0.48,0.33
1985,-0.02,-0.43,0.25
1986,-0.01,-0.44,0.28
1987,0,-0.54,0.37
1988,-0.01,-0.48,0.25
1989,-0.02,-0.46,0.23
1990,-0.04,-0.36,0.12
1991,-0.05,-0.33,0.1
1992,-0.04,-0.31,0.11
1993,-0.04,-0.29,0.09
1994,-0.03,-0.28,0.1
1995,-0.03,-0.24,0.07
1996,-0.04,-0.18,0.06
1997,-0.06,-0.11,0.02
1998,-0.07,-0.05,0
1999,-0.07,0.03,0
2000,-0.09,0.09,0.01
2001,-0.13,0.09,0.01
2002,-0.1,0.04,0
2003,-0.07,-0.08,0.01
2004,-0.06,-0.07,0.01
2005,-0.06,-0.05,0
2006,-0.06,-0.02,0
2007,-0.07,-0.02,0
2008,-0.11,0.02,0
2009,-0.09,-0.08,0.01
2010,-0.06,-0.03,0
2011,-0.06,-0.05,0.01
2012,-0.08,-0.02,0
2013,-0.09,0.06,0
2014,-0.08,0.01,0
